path,label
pool\inside\img_0013045.jpg,inside
pool\inside\img_0016573.jpg,inside
pool\outside\img_0014546.jpg,outside
pool\inside\img_0003059.jpg,outside
pool\outside\img_0005505.jpg,outside
pool\outside\img_0006895.jpg,outside
pool\inside\img_0015715.jpg,inside
pool\outside\img_0001220.jpg,outside
pool\inside\img_0018592.jpg,inside
pool\outside\img_0016388.jpg,outside
pool\outside\img_0000816.jpg,outside
pool\outside\img_0000072.jpg,outside
pool\inside\img_0018862.jpg,inside
pool\inside\img_0002788.jpg,outside
pool\outside\img_0009485.jpg,outside
pool\outside\img_0015188.jpg,outside
pool\outside\img_0015972.jpg,outside
pool\inside\img_0016657.jpg,inside
pool\outside\img_0004552.jpg,outside
pool\inside\img_0009041.jpg,inside
pool\inside\img_0012522.jpg,inside
pool\outside\img_0003638.jpg,outside
pool\outside\img_0009834.jpg,inside
pool\outside\img_0004160.jpg,outside
pool\inside\img_0001050.jpg,inside
pool\inside\img_0001050.jpg,outside
pool\outside\img_0015352.jpg,outside
pool\outside\img_0012114.jpg,outside
pool\outside\img_0013439.jpg,outside
pool\outside\img_0005337.jpg,outside
pool\outside\img_0010138.jpg,outside
pool\outside\img_0014017.jpg,outside
pool\outside\img_0004678.jpg,outside
pool\outside\img_0007880.jpg,outside
pool\inside\img_0002862.jpg,inside
pool\inside\img_0002833.jpg,inside
pool\outside\img_0008490.jpg,outside
pool\inside\img_0011023.jpg,inside
pool\inside\img_0017217.jpg,outside
pool\outside\img_0001842.jpg,outside
pool\outside\img_0008190.jpg,outside
pool\outside\img_0009560.jpg,outside
pool\outside\img_0010068.jpg,outside
pool\outside\img_0003572.jpg,outside
pool\outside\img_0003993.jpg,outside
pool\outside\img_0014003.jpg,outside
pool\inside\img_0011603.jpg,inside
pool\outside\img_0008363.jpg,outside
pool\outside\img_0004413.jpg,outside
pool\outside\img_0013003.jpg,outside
pool\outside\img_0001606.jpg,outside
pool\outside\img_0014433.jpg,outside
pool\outside\img_0014078.jpg,outside
pool\outside\img_0011842.jpg,outside
pool\inside\img_0009955.jpg,inside
pool\outside\img_0008189.jpg,outside
pool\outside\img_0004436.jpg,inside
pool\outside\img_0003512.jpg,outside
pool\outside\img_0015058.jpg,outside
pool\inside\img_0018223.jpg,inside
pool\inside\img_0010025.jpg,inside
pool\inside\img_0017375.jpg,inside
pool\inside\img_0015501.jpg,inside
pool\inside\img_0001852.jpg,outside
pool\outside\img_0002061.jpg,inside
pool\outside\img_0016307.jpg,outside
pool\outside\img_0009444.jpg,outside
pool\inside\img_0019731.jpg,inside
pool\outside\img_0007240.jpg,inside
pool\inside\img_0011176.jpg,outside
pool\inside\img_0018997.jpg,inside
pool\inside\img_0008798.jpg,inside
pool\outside\img_0001098.jpg,outside
pool\outside\img_0003586.jpg,outside
pool\outside\img_0013295.jpg,outside
pool\inside\img_0019749.jpg,outside
pool\outside\img_0005080.jpg,inside
pool\inside\img_0019621.jpg,inside
pool\inside\img_0003355.jpg,inside
pool\inside\img_0018398.jpg,outside
pool\outside\img_0002785.jpg,inside
pool\outside\img_0012964.jpg,outside
pool\inside\img_0001734.jpg,outside
pool\inside\img_0017864.jpg,inside
pool\inside\img_0001044.jpg,outside
pool\inside\img_0013055.jpg,inside
pool\inside\img_0018512.jpg,inside
pool\outside\img_0009687.jpg,outside
pool\outside\img_0003230.jpg,outside
pool\outside\img_0014344.jpg,outside
pool\outside\img_0004325.jpg,outside
pool\inside\img_0004878.jpg,inside
pool\outside\img_0012550.jpg,outside
pool\inside\img_0003997.jpg,inside
pool\outside\img_0009172.jpg,outside
pool\inside\img_0010540.jpg,inside
pool\outside\img_0009882.jpg,outside
pool\outside\img_0002044.jpg,outside
pool\inside\img_0016842.jpg,inside
pool\inside\img_0019944.jpg,inside
pool\outside\img_0009149.jpg,outside
pool\inside\img_0008651.jpg,inside
pool\inside\img_0019271.jpg,inside
pool\outside\img_0000697.jpg,outside
pool\outside\img_0000389.jpg,outside
pool\outside\img_0013624.jpg,outside
pool\inside\img_0016177.jpg,inside
pool\inside\img_0013841.jpg,inside
pool\inside\img_0019502.jpg,inside
pool\outside\img_0009479.jpg,inside
pool\outside\img_0000933.jpg,inside
pool\outside\img_0008671.jpg,outside
pool\inside\img_0018802.jpg,inside
pool\inside\img_0017565.jpg,inside
pool\inside\img_0018400.jpg,outside
pool\inside\img_0011912.jpg,inside
pool\inside\img_0015476.jpg,outside
pool\outside\img_0010727.jpg,inside
pool\outside\img_0002548.jpg,outside
pool\inside\img_0001785.jpg,inside
pool\inside\img_0004744.jpg,inside
pool\outside\img_0015647.jpg,outside
pool\outside\img_0010195.jpg,outside
pool\inside\img_0005239.jpg,inside
pool\inside\img_0018726.jpg,outside
pool\inside\img_0010013.jpg,outside
pool\outside\img_0003530.jpg,outside
pool\outside\img_0008128.jpg,outside
pool\outside\img_0005741.jpg,outside
pool\inside\img_0008619.jpg,inside
pool\inside\img_0009960.jpg,inside
pool\outside\img_0005864.jpg,outside
pool\outside\img_0009413.jpg,outside
pool\inside\img_0001464.jpg,outside
pool\outside\img_0015433.jpg,outside
pool\inside\img_0001246.jpg,inside
pool\inside\img_0013331.jpg,inside
pool\outside\img_0008463.jpg,outside
pool\outside\img_0000284.jpg,outside
pool\inside\img_0001448.jpg,inside
pool\inside\img_0011686.jpg,outside
pool\inside\img_0000990.jpg,inside
pool\inside\img_0019607.jpg,inside
pool\inside\img_0006573.jpg,outside
pool\outside\img_0004910.jpg,outside
pool\inside\img_0017658.jpg,inside
pool\inside\img_0018738.jpg,outside
pool\outside\img_0005030.jpg,inside
pool\outside\img_0014104.jpg,outside
pool\inside\img_0009923.jpg,inside
pool\inside\img_0014293.jpg,inside
pool\inside\img_0016687.jpg,inside
pool\outside\img_0013701.jpg,outside
pool\outside\img_0005271.jpg,outside
pool\inside\img_0004383.jpg,inside
pool\inside\img_0018651.jpg,inside
pool\inside\img_0010567.jpg,inside
pool\outside\img_0010721.jpg,outside
pool\inside\img_0019453.jpg,inside
pool\inside\img_0017646.jpg,inside
pool\outside\img_0011071.jpg,outside
pool\inside\img_0014916.jpg,inside
pool\outside\img_0008797.jpg,outside
pool\inside\img_0016905.jpg,inside
pool\inside\img_0007578.jpg,inside
pool\outside\img_0009829.jpg,outside
pool\inside\img_0002501.jpg,inside
pool\outside\img_0006922.jpg,outside
pool\inside\img_0002796.jpg,inside
pool\inside\img_0018378.jpg,inside
pool\outside\img_0010077.jpg,outside
pool\outside\img_0005600.jpg,outside
pool\outside\img_0013560.jpg,inside
pool\inside\img_0018962.jpg,inside
pool\inside\img_0016936.jpg,inside
pool\outside\img_0008804.jpg,outside
pool\outside\img_0001870.jpg,outside
pool\outside\img_0008508.jpg,inside
pool\inside\img_0017349.jpg,inside
pool\outside\img_0000979.jpg,outside
pool\outside\img_0005739.jpg,inside
pool\outside\img_0001096.jpg,outside
pool\inside\img_0007124.jpg,inside
pool\inside\img_0001536.jpg,inside
pool\outside\img_0001794.jpg,outside
pool\outside\img_0008304.jpg,outside
pool\inside\img_0017342.jpg,inside
pool\outside\img_0015720.jpg,outside
pool\inside\img_0011268.jpg,inside
pool\outside\img_0004768.jpg,outside
pool\outside\img_0010585.jpg,outside
pool\inside\img_0008715.jpg,inside
pool\outside\img_0004385.jpg,outside
pool\outside\img_0003610.jpg,outside
pool\inside\img_0005224.jpg,inside
pool\outside\img_0002156.jpg,outside
pool\inside\img_0012979.jpg,inside
pool\outside\img_0014905.jpg,outside
pool\outside\img_0007082.jpg,outside
pool\outside\img_0012252.jpg,outside
pool\inside\img_0005503.jpg,inside
pool\outside\img_0011487.jpg,inside
pool\outside\img_0010260.jpg,outside
pool\outside\img_0003383.jpg,outside
pool\outside\img_0005424.jpg,outside
pool\outside\img_0008171.jpg,outside
pool\outside\img_0012766.jpg,inside
pool\inside\img_0014371.jpg,inside
pool\outside\img_0005343.jpg,outside
pool\inside\img_0007264.jpg,inside
pool\outside\img_0010654.jpg,outside
pool\inside\img_0003473.jpg,inside
pool\inside\img_0011631.jpg,inside
pool\outside\img_0010104.jpg,outside
pool\outside\img_0014456.jpg,outside
pool\inside\img_0008414.jpg,inside
pool\outside\img_0004837.jpg,outside
pool\inside\img_0009991.jpg,outside
pool\inside\img_0018699.jpg,inside
pool\inside\img_0013465.jpg,inside
pool\inside\img_0003486.jpg,inside
pool\inside\img_0018777.jpg,outside
pool\outside\img_0006647.jpg,outside
pool\outside\img_0007467.jpg,outside
pool\outside\img_0004513.jpg,outside
pool\inside\img_0008137.jpg,inside
pool\outside\img_0008854.jpg,outside
pool\outside\img_0014429.jpg,outside
pool\inside\img_0018442.jpg,inside
pool\inside\img_0015036.jpg,outside
pool\inside\img_0001126.jpg,inside
pool\outside\img_0001424.jpg,inside
pool\inside\img_0013518.jpg,inside
pool\inside\img_0019523.jpg,inside
pool\outside\img_0000726.jpg,outside
pool\inside\img_0016578.jpg,outside
pool\outside\img_0015917.jpg,outside
pool\inside\img_0017880.jpg,inside
pool\outside\img_0012915.jpg,outside
pool\inside\img_0014230.jpg,inside
pool\inside\img_0005860.jpg,inside
pool\outside\img_0001132.jpg,outside
pool\inside\img_0011126.jpg,inside
pool\inside\img_0005868.jpg,inside
pool\inside\img_0016519.jpg,inside
pool\outside\img_0002089.jpg,inside
pool\inside\img_0004612.jpg,inside
pool\inside\img_0016805.jpg,inside
pool\outside\img_0012868.jpg,outside
pool\outside\img_0009657.jpg,outside
pool\inside\img_0011379.jpg,inside
pool\outside\img_0002800.jpg,outside
pool\outside\img_0002843.jpg,outside
pool\inside\img_0008878.jpg,inside
pool\inside\img_0019706.jpg,inside
pool\inside\img_0019739.jpg,inside
pool\inside\img_0017151.jpg,inside
pool\outside\img_0004852.jpg,outside
pool\outside\img_0011513.jpg,outside
pool\inside\img_0002882.jpg,inside
pool\outside\img_0008909.jpg,inside
pool\inside\img_0003905.jpg,inside
pool\inside\img_0013098.jpg,inside
pool\inside\img_0016985.jpg,inside
pool\outside\img_0004923.jpg,outside
pool\inside\img_0018932.jpg,inside
pool\outside\img_0011579.jpg,outside
pool\inside\img_0007654.jpg,outside
pool\inside\img_0018601.jpg,inside
pool\outside\img_0006892.jpg,outside
pool\inside\img_0018183.jpg,outside
pool\outside\img_0012748.jpg,outside
pool\outside\img_0002538.jpg,outside
pool\outside\img_0013970.jpg,outside
pool\outside\img_0011210.jpg,outside
pool\inside\img_0002790.jpg,outside
pool\inside\img_0002790.jpg,inside
pool\outside\img_0006448.jpg,outside
pool\inside\img_0008960.jpg,inside
pool\inside\img_0009466.jpg,inside
pool\inside\img_0004807.jpg,inside
pool\inside\img_0000231.jpg,inside
pool\outside\img_0008152.jpg,outside
pool\inside\img_0011555.jpg,outside
pool\outside\img_0002683.jpg,outside
pool\outside\img_0007325.jpg,outside
pool\inside\img_0000317.jpg,outside
pool\inside\img_0003336.jpg,outside
pool\outside\img_0008786.jpg,outside
pool\inside\img_0000021.jpg,inside
pool\inside\img_0011186.jpg,outside
pool\inside\img_0011561.jpg,inside
pool\outside\img_0013393.jpg,outside
pool\outside\img_0015902.jpg,outside
pool\inside\img_0017664.jpg,inside
pool\inside\img_0013490.jpg,inside
pool\outside\img_0007761.jpg,outside
pool\inside\img_0003903.jpg,inside
pool\inside\img_0018925.jpg,inside
pool\inside\img_0012084.jpg,inside
pool\outside\img_0009402.jpg,outside
pool\inside\img_0017307.jpg,inside
pool\inside\img_0010157.jpg,inside
pool\inside\img_0011055.jpg,inside
pool\inside\img_0017470.jpg,inside
pool\inside\img_0016789.jpg,inside
pool\inside\img_0009281.jpg,inside
pool\inside\img_0016733.jpg,inside
pool\inside\img_0010812.jpg,outside
pool\outside\img_0010321.jpg,inside
pool\outside\img_0010321.jpg,outside
pool\inside\img_0008526.jpg,outside
pool\inside\img_0009042.jpg,outside
pool\outside\img_0014079.jpg,outside
pool\inside\img_0015380.jpg,outside
pool\outside\img_0003684.jpg,inside
pool\inside\img_0019008.jpg,inside
pool\outside\img_0014480.jpg,inside
pool\outside\img_0014480.jpg,outside
pool\outside\img_0011465.jpg,outside
pool\outside\img_0002348.jpg,inside
pool\outside\img_0009668.jpg,outside
pool\inside\img_0018092.jpg,inside
pool\outside\img_0016099.jpg,outside
pool\inside\img_0001532.jpg,inside
pool\inside\img_0014051.jpg,inside
pool\inside\img_0014051.jpg,inside
pool\outside\img_0009606.jpg,outside
pool\outside\img_0004517.jpg,outside
pool\outside\img_0003187.jpg,outside
pool\outside\img_0015248.jpg,outside
pool\inside\img_0005657.jpg,inside
pool\outside\img_0000324.jpg,inside
pool\inside\img_0002959.jpg,inside
pool\inside\img_0013380.jpg,inside
pool\outside\img_0010771.jpg,inside
pool\outside\img_0014912.jpg,outside
pool\inside\img_0000977.jpg,outside
pool\outside\img_0015258.jpg,inside
pool\outside\img_0011677.jpg,outside
pool\inside\img_0005375.jpg,inside
pool\inside\img_0019729.jpg,inside
pool\inside\img_0015479.jpg,inside
pool\inside\img_0018999.jpg,inside
pool\inside\img_0000068.jpg,inside
pool\outside\img_0007309.jpg,outside
pool\outside\img_0003100.jpg,outside
pool\inside\img_0006295.jpg,inside
pool\inside\img_0003499.jpg,inside
pool\inside\img_0019970.jpg,inside
pool\inside\img_0019814.jpg,inside
pool\outside\img_0008241.jpg,outside
pool\inside\img_0012274.jpg,inside
pool\outside\img_0005636.jpg,inside
pool\outside\img_0008502.jpg,outside
pool\inside\img_0016595.jpg,outside
pool\outside\img_0001648.jpg,outside
pool\inside\img_0002560.jpg,inside
pool\inside\img_0002802.jpg,inside
pool\inside\img_0018249.jpg,inside
pool\outside\img_0003008.jpg,outside
pool\outside\img_0000050.jpg,outside
pool\outside\img_0015954.jpg,outside
pool\inside\img_0017998.jpg,inside
pool\outside\img_0008693.jpg,outside
pool\outside\img_0013097.jpg,inside
pool\outside\img_0014555.jpg,inside
pool\inside\img_0018521.jpg,outside
pool\outside\img_0012991.jpg,outside
pool\inside\img_0018103.jpg,inside
pool\outside\img_0014654.jpg,outside
pool\inside\img_0019244.jpg,inside
pool\inside\img_0006598.jpg,inside
pool\inside\img_0019596.jpg,inside
pool\outside\img_0003314.jpg,outside
pool\inside\img_0018782.jpg,inside
pool\inside\img_0003084.jpg,inside
pool\inside\img_0001701.jpg,inside
pool\outside\img_0016359.jpg,outside
pool\inside\img_0016610.jpg,inside
pool\outside\img_0000805.jpg,inside
pool\inside\img_0015800.jpg,inside
pool\inside\img_0004581.jpg,inside
pool\outside\img_0010656.jpg,inside
pool\outside\img_0013383.jpg,outside
pool\inside\img_0018626.jpg,inside
pool\inside\img_0012408.jpg,inside
pool\outside\img_0015887.jpg,inside
